"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL"
"61",NA,"2023 Grêmio","","Thomas Luciano","BRA","DF","21",3.5,128,96,32,5,0,0,4,27,0,0,0,0,85,0,5,"https://fbref.com/en/players/0e624011/Thomas-Luciano"
"62",NA,"2023 Grêmio","","Lucas Silva","BRA","MF","29",2.5,148,142,5,4,0,0,1,0,1,0,1,0,127,1,2,"https://fbref.com/en/players/1c646218/Lucas-Silva"
"63",NA,"2023 Grêmio","","Nathan Fernandes","BRA","FW,MF","17",4.2,113,113,0,0,0,0,4,0,0,0,0,0,84,0,4,"https://fbref.com/en/players/239bbd8b/Nathan-Fernandes"
"64",NA,"2023 Grêmio","","Adriel","BRA","GK","22",2,63,25,38,9,0,1,0,0,0,0,0,0,28,0,0,"https://fbref.com/en/players/11ad100a/Adriel"
"65",NA,"2023 Grêmio","","Andre Martins","BRA","FW,MF","21",4.1,141,134,6,0,0,0,3,1,0,0,0,0,107,1,5,"https://fbref.com/en/players/56224aa6/Andre-Martins"
"66",NA,"2023 Grêmio","","Zinho","BRA","FW,MF","19",2.7,61,61,0,0,1,0,3,0,0,0,0,0,42,0,4,"https://fbref.com/en/players/a698bdd2/Zinho"
"67",NA,"2023 Grêmio","","Josué","BRA","MF","17",1.3,52,50,1,1,0,0,1,0,0,0,0,0,36,1,1,"https://fbref.com/en/players/4fd72cba/Josue"
"68",NA,"2023 Grêmio","","Brenno","BRA","GK","23",1,19,12,7,4,0,0,0,0,0,0,0,0,17,0,0,"https://fbref.com/en/players/f002e8eb/Brenno"
"69",NA,"2023 Grêmio","","Wesley","BRA","DF","19",1,39,33,6,1,0,0,1,5,0,0,0,0,21,0,2,"https://fbref.com/en/players/aaa5df99/Wesley"
"70",NA,"2023 Grêmio","","Juan Iturbe","PAR","FW,MF","29",0.8,28,28,0,0,0,0,2,0,0,0,0,0,19,0,2,"https://fbref.com/en/players/2c0fbaf5/Juan-Iturbe"
"71",NA,"2023 Grêmio","","Luan Vieira","BRA","FW,MF","29",0.6,46,42,4,0,1,0,4,0,3,1,2,0,37,0,1,"https://fbref.com/en/players/c4f6bf06/Luan-Vieira"
"72",NA,"2023 Grêmio","","Darlan Mendes","BRA","MF","24",0.5,18,17,1,1,0,0,0,0,0,0,0,0,16,0,0,"https://fbref.com/en/players/a86f0d7b/Darlan-Mendes"
"73",NA,"2023 Grêmio","","Gustavinho","BRA","FW,MF","21",0.4,21,19,2,0,0,0,3,0,2,2,0,0,13,0,0,"https://fbref.com/en/players/69896b0e/Gustavinho"
"74",NA,"2023 Grêmio","","Freddy Noguera","PAR","FW","19",0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,"https://fbref.com/en/players/8317e485/Freddy-Noguera"
"75",NA,"2023 Grêmio","","Nata","BRA","FW,DF","21",0.2,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,"https://fbref.com/en/players/b9ae93ab/Nata"
"76",NA,"2023 Grêmio","","Lian","BRA","MF","17",0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,"https://fbref.com/en/players/d143aba5/Lian"
"77",NA,"2023 Grêmio","","João Vitor","BRA","MF","17",0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,"https://fbref.com/en/players/5b19b28b/Joao-Vitor"
"78",NA,"2023 Atlético Mineiro","Série A","Éverson","BRA","GK","32",36,1064,814,248,71,0,3,0,0,0,0,0,0,752,2,0,"https://fbref.com/en/players/a59c090b/Everson"
"79",NA,"2023 Atlético Mineiro","Série A","Paulinho","BRA","FW,MF","22",33.2,1050,1035,11,3,2,4,18,5,0,0,0,0,854,4,33,"https://fbref.com/en/players/53070b63/Paulinho"
"80",NA,"2023 Atlético Mineiro","Série A","Hulk","BRA","FW","36",32.7,1000,821,172,48,16,17,128,8,71,36,22,0,651,7,36,"https://fbref.com/en/players/33a1f72e/Hulk"
"81",NA,"2023 Atlético Mineiro","Série A","Jemerson","BRA","DF","30",27.5,1534,1367,165,62,1,13,0,2,0,0,0,0,1361,2,7,"https://fbref.com/en/players/7cab69b5/Jemerson"
"82",NA,"2023 Atlético Mineiro","Série A","Guilherme Arana","BRA","DF","25",26.5,1706,1435,260,25,2,5,100,228,7,1,5,0,1361,11,47,"https://fbref.com/en/players/2b15a82a/Guilherme-Arana"
"83",NA,"2023 Atlético Mineiro","Série A","Otávio","BRA","MF","28",25.6,1450,1404,45,41,1,8,3,4,0,0,0,0,1311,1,2,"https://fbref.com/en/players/243f4a0b/Otavio"
"84",NA,"2023 Atlético Mineiro","Série A","Mauricio Lemos","URU","DF","27",24.6,1253,1177,73,42,1,17,2,4,0,0,0,0,1043,3,10,"https://fbref.com/en/players/dbe5a587/Mauricio-Lemos"
"85",NA,"2023 Atlético Mineiro","Série A","Federico Zaracho","ARG","MF,FW","24",21.6,931,890,38,13,4,3,9,12,5,4,0,0,802,3,17,"https://fbref.com/en/players/803d5265/Federico-Zaracho"
"86",NA,"2023 Atlético Mineiro","Série A","Cristian Pavón","ARG","FW,MF","27",21.5,968,917,47,11,3,13,84,13,23,13,4,0,740,4,24,"https://fbref.com/en/players/a664b026/Cristian-Pavon"
"87",NA,"2023 Atlético Mineiro","Série A","Renzo Saravia","ARG","DF","29",19,975,815,157,11,2,4,44,146,0,0,0,0,757,3,30,"https://fbref.com/en/players/cf316639/Renzo-Saravia"
"88",NA,"2023 Atlético Mineiro","Série A","Rodrigo Battaglia","ARG","MF","31",19.2,976,920,54,52,0,5,7,1,0,0,0,0,853,2,12,"https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia"
"89",NA,"2023 Atlético Mineiro","Série A","Mariano","BRA","DF","36",17.4,1100,947,146,14,0,10,39,132,0,0,0,0,853,7,23,"https://fbref.com/en/players/e26f559f/Mariano"
"90",NA,"2023 Atlético Mineiro","Série A","Igor Gomes","BRA","MF,FW","23",15.3,706,653,53,11,6,2,63,5,36,25,5,0,523,0,16,"https://fbref.com/en/players/6a7fb945/Igor-Gomes"
"91",NA,"2023 Atlético Mineiro","Série A","Edenílson","BRA","MF,FW","33",15.2,674,644,29,11,5,3,12,8,5,0,4,0,575,1,11,"https://fbref.com/en/players/4e50f20e/Edenilson"
"92",NA,"2023 Atlético Mineiro","Série A","Rubens","BRA","DF,MF","21",15,772,678,92,6,1,1,36,86,0,0,0,0,596,2,33,"https://fbref.com/en/players/ae23d044/Rubens"
"93",NA,"2023 Atlético Mineiro","Série A","Bruno Fuchs","BRA","DF","23",12.1,662,633,27,22,1,9,3,5,0,0,0,0,555,2,3,"https://fbref.com/en/players/ee89e28d/Bruno-Fuchs"
"94",NA,"2023 Atlético Mineiro","Série A","Hyoran","BRA","MF,FW","29",7.7,298,255,42,6,4,4,50,4,32,20,11,0,202,1,12,"https://fbref.com/en/players/ffb88c28/Hyoran"
"95",NA,"2023 Atlético Mineiro","Série A","Alan Franco","ECU","MF,FW","24",9.3,357,348,9,9,0,0,4,0,0,0,0,0,304,0,4,"https://fbref.com/en/players/c76b161b/Alan-Franco"
"96",NA,"2023 Atlético Mineiro","Série A","Igor Rabello","BRA","DF","27",7.7,365,350,15,13,0,0,1,1,0,0,0,0,293,0,0,"https://fbref.com/en/players/48048864/Igor-Rabello"
"97",NA,"2023 Atlético Mineiro","Série A","Pedrinho","BRA","MF,FW","24",7,411,394,13,3,4,2,23,1,8,4,4,0,339,4,12,"https://fbref.com/en/players/6796e284/Pedrinho"
"98",NA,"2023 Atlético Mineiro","Série A","Eduardo Vargas","CHI","FW","33",5.2,159,156,3,0,1,6,4,2,0,0,0,0,127,0,1,"https://fbref.com/en/players/bd603c00/Eduardo-Vargas"
"99",NA,"2023 Atlético Mineiro","Série A","Nathan Silva","BRA","DF","25",4,238,229,9,8,0,1,1,0,0,0,0,0,213,0,1,"https://fbref.com/en/players/369d907c/Nathan-Silva"
"100",NA,"2023 Atlético Mineiro","Série A","Patrick","BRA","MF,FW","30",6.2,322,292,29,5,1,0,16,24,0,0,0,0,260,1,4,"https://fbref.com/en/players/92add14e/Patrick"
"101",NA,"2023 Atlético Mineiro","Série A","Alan Kardec","BRA","FW,MF","34",2.9,52,47,5,0,0,0,1,0,0,0,0,0,36,0,3,"https://fbref.com/en/players/e7fba767/Alan-Kardec"
"102",NA,"2023 Atlético Mineiro","Série A","Matheus Mendes","BRA","GK","23",2,66,30,36,13,0,0,0,0,0,0,0,0,40,0,0,"https://fbref.com/en/players/d0d01f62/Matheus-Mendes"
"103",NA,"2023 Atlético Mineiro","Série A","Réver","BRA","DF,FW","38",1.3,53,48,5,0,0,1,0,0,0,0,0,0,46,0,0,"https://fbref.com/en/players/1938fd6a/Rever"
"104",NA,"2023 Atlético Mineiro","Série A","Dodô","BRA","DF","30",0.7,56,47,9,1,0,0,4,8,0,0,0,0,46,0,3,"https://fbref.com/en/players/99931185/Dodo"
"105",NA,"2023 Atlético Mineiro","Série A","Alisson","BRA","MF,DF","17",0.5,31,29,1,0,0,0,3,0,1,1,0,0,21,1,0,"https://fbref.com/en/players/d26ee8de/Alisson"
