"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL"
"67",NA,"2023 Grêmio","","Josué","BRA","MF","17",1.3,77,7,24,43,10,0,77,0,0,NA,0,NA,31,188,38,1,0,0,3,1,31,2,"https://fbref.com/en/players/4fd72cba/Josue"
"68",NA,"2023 Grêmio","","Brenno","BRA","GK","23",1,19,16,19,0,0,0,19,0,0,NA,0,NA,12,61,47,0,0,0,0,0,5,0,"https://fbref.com/en/players/f002e8eb/Brenno"
"69",NA,"2023 Grêmio","","Wesley","BRA","DF","19",1,46,2,13,22,12,0,46,1,1,100,0,0,21,107,55,1,0,0,2,0,25,1,"https://fbref.com/en/players/aaa5df99/Wesley"
"70",NA,"2023 Grêmio","","Juan Iturbe","PAR","FW,MF","29",0.8,50,2,15,23,12,4,50,7,4,57.1,3,42.9,30,219,78,0,0,1,5,1,30,9,"https://fbref.com/en/players/2c0fbaf5/Juan-Iturbe"
"71",NA,"2023 Grêmio","","Luan Vieira","BRA","FW,MF","29",0.6,57,1,3,33,21,0,57,3,3,100,0,0,32,126,55,0,1,0,3,1,43,1,"https://fbref.com/en/players/c4f6bf06/Luan-Vieira"
"72",NA,"2023 Grêmio","","Darlan Mendes","BRA","MF","24",0.5,22,2,9,10,3,0,22,0,0,NA,0,NA,12,37,7,0,0,0,0,0,12,0,"https://fbref.com/en/players/a86f0d7b/Darlan-Mendes"
"73",NA,"2023 Grêmio","","Gustavinho","BRA","FW,MF","21",0.4,26,0,4,14,9,1,26,1,0,0,1,100,18,68,38,0,1,0,1,1,21,2,"https://fbref.com/en/players/69896b0e/Gustavinho"
"74",NA,"2023 Grêmio","","Freddy Noguera","PAR","FW","19",0.3,8,0,0,5,3,0,8,3,2,66.7,1,33.3,10,24,11,0,0,0,3,3,8,0,"https://fbref.com/en/players/8317e485/Freddy-Noguera"
"75",NA,"2023 Grêmio","","Nata","BRA","FW,DF","21",0.2,13,1,5,7,1,0,13,0,0,NA,0,NA,8,31,19,0,0,0,0,0,10,0,"https://fbref.com/en/players/b9ae93ab/Nata"
"76",NA,"2023 Grêmio","","Lian","BRA","MF","17",0.1,3,0,0,3,0,0,3,0,0,NA,0,NA,2,13,9,0,0,0,1,0,3,0,"https://fbref.com/en/players/d143aba5/Lian"
"77",NA,"2023 Grêmio","","João Vitor","BRA","MF","17",0.1,8,0,1,5,3,0,8,2,0,0,2,100,5,14,3,0,0,0,0,0,5,0,"https://fbref.com/en/players/5b19b28b/Joao-Vitor"
"78",NA,"2023 Atlético Mineiro","Série A","Éverson","BRA","GK","32",36,1141,1023,1139,3,0,0,1141,0,0,NA,0,NA,657,3233,2034,0,1,1,1,0,550,0,"https://fbref.com/en/players/a59c090b/Everson"
"79",NA,"2023 Atlético Mineiro","Série A","Paulinho","BRA","FW,MF","22",33.2,1431,24,155,673,646,153,1431,102,52,51,46,45.1,908,5968,2896,95,85,34,83,38,1066,234,"https://fbref.com/en/players/53070b63/Paulinho"
"80",NA,"2023 Atlético Mineiro","Série A","Hulk","BRA","FW","36",32.7,1484,40,86,583,848,105,1479,176,83,47.2,71,40.3,940,5590,2688,87,75,32,126,109,1140,204,"https://fbref.com/en/players/33a1f72e/Hulk"
"81",NA,"2023 Atlético Mineiro","Série A","Jemerson","BRA","DF","30",27.5,1770,294,919,817,39,15,1770,7,4,57.1,3,42.9,1019,6322,4030,21,7,0,6,5,1115,5,"https://fbref.com/en/players/7cab69b5/Jemerson"
"82",NA,"2023 Atlético Mineiro","Série A","Guilherme Arana","BRA","DF","25",26.5,1962,82,521,893,562,27,1962,31,12,38.7,16,51.6,1077,5445,3104,56,43,5,25,13,1289,122,"https://fbref.com/en/players/2b15a82a/Guilherme-Arana"
"83",NA,"2023 Atlético Mineiro","Série A","Otávio","BRA","MF","28",25.6,1660,59,371,1197,100,2,1660,10,5,50,3,30,962,4234,1974,12,14,0,10,4,1149,12,"https://fbref.com/en/players/243f4a0b/Otavio"
