"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL"
"81",NA,"2023 Atlético Mineiro","Série A","Jemerson","BRA","DF","30",27.5,1361,1534,88.7,23892,8149,521,555,93.9,697,747,93.3,97,171,56.7,1,0.1,0.6,0.9,4,63,2,0,66,"https://fbref.com/en/players/7cab69b5/Jemerson"
"82",NA,"2023 Atlético Mineiro","Série A","Guilherme Arana","BRA","DF","25",26.5,1361,1706,79.8,21177,8117,782,853,91.7,473,576,82.1,82,173,47.4,0,1.1,1.8,-1.1,24,101,31,11,133,"https://fbref.com/en/players/2b15a82a/Guilherme-Arana"
"83",NA,"2023 Atlético Mineiro","Série A","Otávio","BRA","MF","28",25.6,1311,1450,90.4,23396,7322,563,592,95.1,616,666,92.5,111,153,72.5,0,0.4,0.7,-0.4,11,155,5,1,135,"https://fbref.com/en/players/243f4a0b/Otavio"
"84",NA,"2023 Atlético Mineiro","Série A","Mauricio Lemos","URU","DF","27",24.6,1043,1253,83.2,23092,8490,263,289,91,579,631,91.8,193,305,63.3,0,0,0.2,0,2,78,2,0,71,"https://fbref.com/en/players/dbe5a587/Mauricio-Lemos"
"85",NA,"2023 Atlético Mineiro","Série A","Federico Zaracho","ARG","MF,FW","24",21.6,802,931,86.1,12179,2513,433,473,91.5,304,342,88.9,40,59,67.8,1,1.7,1.1,-0.7,22,71,12,1,74,"https://fbref.com/en/players/803d5265/Federico-Zaracho"
"86",NA,"2023 Atlético Mineiro","Série A","Cristian Pavón","ARG","FW,MF","27",21.5,740,968,76.4,10936,2258,448,510,87.8,224,299,74.9,44,85,51.8,8,3.9,3.2,4.1,39,44,21,6,62,"https://fbref.com/en/players/a664b026/Cristian-Pavon"
"87",NA,"2023 Atlético Mineiro","Série A","Renzo Saravia","ARG","DF","29",19,757,975,77.6,12105,4539,379,431,87.9,319,384,83.1,45,109,41.3,2,0.9,0.8,1.1,9,82,7,4,75,"https://fbref.com/en/players/cf316639/Renzo-Saravia"
"88",NA,"2023 Atlético Mineiro","Série A","Rodrigo Battaglia","ARG","MF","31",19.2,853,976,87.4,13841,3187,400,445,89.9,382,414,92.3,47,66,71.2,1,0.4,1.4,0.6,8,92,6,0,80,"https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia"
"89",NA,"2023 Atlético Mineiro","Série A","Mariano","BRA","DF","36",17.4,853,1100,77.5,16596,6806,332,375,88.5,385,463,83.2,126,214,58.9,1,0.4,0.9,0.6,11,99,16,9,88,"https://fbref.com/en/players/e26f559f/Mariano"
"90",NA,"2023 Atlético Mineiro","Série A","Igor Gomes","BRA","MF,FW","23",15.3,523,706,74.1,8869,2142,245,294,83.3,201,248,81,58,110,52.7,2,3.2,2.8,-1.2,30,43,21,5,67,"https://fbref.com/en/players/6a7fb945/Igor-Gomes"
"91",NA,"2023 Atlético Mineiro","Série A","Edenílson","BRA","MF,FW","33",15.2,575,674,85.3,9059,2490,298,336,88.7,221,244,90.6,39,57,68.4,2,1.8,1.3,0.2,16,52,8,2,57,"https://fbref.com/en/players/4e50f20e/Edenilson"
"92",NA,"2023 Atlético Mineiro","Série A","Rubens","BRA","DF,MF","21",15,596,772,77.2,9275,2800,318,363,87.6,231,286,80.8,32,65,49.2,1,1.1,0.9,-0.1,9,43,10,4,53,"https://fbref.com/en/players/ae23d044/Rubens"
"93",NA,"2023 Atlético Mineiro","Série A","Bruno Fuchs","BRA","DF","23",12.1,555,662,83.8,11762,4059,158,175,90.3,308,339,90.9,87,137,63.5,0,0.2,0.2,-0.2,2,37,4,1,34,"https://fbref.com/en/players/ee89e28d/Bruno-Fuchs"
"94",NA,"2023 Atlético Mineiro","Série A","Hyoran","BRA","MF,FW","29",7.7,202,298,67.8,3493,935,97,109,89,83,111,74.8,19,56,33.9,0,3.1,2.7,-3.1,16,23,10,3,35,"https://fbref.com/en/players/ffb88c28/Hyoran"
"95",NA,"2023 Atlético Mineiro","Série A","Alan Franco","ECU","MF,FW","24",9.3,304,357,85.2,5062,1353,137,155,88.4,132,149,88.6,22,33,66.7,0,0.3,0.6,-0.3,7,26,3,0,27,"https://fbref.com/en/players/c76b161b/Alan-Franco"
"96",NA,"2023 Atlético Mineiro","Série A","Igor Rabello","BRA","DF","27",7.7,293,365,80.3,5459,2186,106,115,92.2,154,175,88,24,64,37.5,0,0.1,0.1,-0.1,2,22,1,0,22,"https://fbref.com/en/players/48048864/Igor-Rabello"
"97",NA,"2023 Atlético Mineiro","Série A","Pedrinho","BRA","MF,FW","24",7,339,411,82.5,5614,1654,167,175,95.4,132,154,85.7,30,56,53.6,2,1.4,1.8,0.6,15,67,15,5,70,"https://fbref.com/en/players/6796e284/Pedrinho"
"98",NA,"2023 Atlético Mineiro","Série A","Eduardo Vargas","CHI","FW","33",5.2,127,159,79.9,2152,315,69,78,88.5,39,51,76.5,14,22,63.6,0,1.1,0.4,-1.1,11,11,3,1,11,"https://fbref.com/en/players/bd603c00/Eduardo-Vargas"
"99",NA,"2023 Atlético Mineiro","Série A","Nathan Silva","BRA","DF","25",4,213,238,89.5,4459,1606,48,53,90.6,146,152,96.1,18,31,58.1,0,0.3,0.5,-0.3,1,9,0,0,15,"https://fbref.com/en/players/369d907c/Nathan-Silva"
"100",NA,"2023 Atlético Mineiro","Série A","Patrick","BRA","MF,FW","30",6.2,260,322,80.7,3915,991,152,172,88.4,90,115,78.3,15,21,71.4,0,1.5,1,-1.5,4,14,8,4,22,"https://fbref.com/en/players/92add14e/Patrick"
